id,textBook,grade,articleId,Page,sentenceId,sentence
0,NH,1,1,P4,1,"Good morning, Takashi."
1,NH,1,1,P4,2,"Good morning, Jill."
2,NH,1,1,P4,3,How are you?
3,NH,1,1,P4,4,"I'm fine, thank you."
4,NH,1,1,P4,5,And you?
5,NH,1,1,P4,6,I'm OK.
6,NH,1,1,P5,7,Stand up.
7,NH,1,1,P5,8,Sit down.
8,NH,1,1,P5,9,Raise your hand.
9,NH,1,1,P5,10,Open your book to page four.
10,NH,1,1,P5,11,Close your book.
11,NH,1,1,P5,12,Look at this picture.
12,NH,1,1,P5,13,Listen to the CD.
13,NH,1,1,P5,14,Repeat after me.
14,NH,1,1,P5,15,Let's read together.
15,NH,1,1,P5,16,Write this down.
16,NH,1,1,P5,17,"Quiet, please."
17,NH,1,1,P5,18,Say that again.
18,NH,1,1,P5,19,Pardon me?
19,NH,1,1,P5,20,Excuse me.
20,NH,1,1,P5,21,What's noto in English?
21,NH,1,1,P8,22,Today is Monday.
22,NH,1,1,P8,23,"First, Japanese."
23,NH,1,1,P8,24,"Second, music."
24,NH,1,1,P8,25,"Third, English."
25,NH,1,1,P8,26,"Fourth, science."
26,NH,1,1,P8,27,"Fifth, math."
27,NH,1,1,P8,28,"Sixth, geography."
28,NH,1,1,P9,29,My birthday is March 3.
29,NH,1,1,P9,30,When is your birthday?
30,NH,1,1,P9,31,My birthday is May 5.
31,NH,1,1,P10,32,I like spaghetti.
32,NH,1,1,P10,33,Do you like spaghetti?
33,NH,1,1,P10,34,"Yes, I do."
34,NH,1,1,P10,35,"No, I don't."
35,NH,1,1,P10,36,But I like pizza.
36,NH,1,1,P10,37,I can play soccer.
37,NH,1,1,P10,38,Can you play soccer?
38,NH,1,1,P10,39,"Yes, I can. "
39,NH,1,1,P10,40,I can play soccer.
40,NH,1,1,P10,41,"No, I can't. "
41,NH,1,1,P10,42,But I can play baseball.
42,NH,1,2,P22,1,"Good morning, everyone."
43,NH,1,2,P22,2,Good morning.
44,NH,1,2,P22,3,I'm Ellen Baker.
45,NH,1,2,P22,4,B-A-K-E-R.
46,NH,1,2,P22,5,Call me Ms. Baker.
47,NH,1,2,P22,6,OK.
48,NH,1,2,P24,7,Are you Ando Saki?
49,NH,1,2,P24,8,"Yes, I am."
50,NH,1,2,P24,9,"Call me Saki, please."
51,NH,1,2,P24,10,"Oh, a judo uniform."
52,NH,1,2,P24,11,"Are you in the judo club, Saki?"
53,NH,1,2,P24,12,"Yes, I am."
54,NH,1,2,P26,13,Are you from America?
55,NH,1,2,P26,14,"Yes, I am."
56,NH,1,2,P26,15,Are you from New York?
57,NH,1,2,P26,16,"No, I'm not. "
58,NH,1,2,P26,17,I'm from Boston.
59,NH,1,2,P26,18,So are you a Boston Red Sox fan?
60,NH,1,2,P26,19,"Yes, I am."
