No,word,level,number of character
139,area,4,4
209,band,4,4
244,beef,4,4
260,belt,4,4
308,body,4,4
310,bomb,4,4
437,case,4,4
479,chef,4,4
542,coat,4,4
658,dark,4,4
774,drop,4,4
841,Emma,4,4
948,fell,4,4
1018,foot,4,4
1099,gift,4,4
1113,goal,4,4
1186,half,4,4
1187,hall,4,4
1213,hate,4,4
1247,hero,4,4
1257,hill,4,4
1268,hole,4,4
1292,host,4,4
1317,hurt,4,4
1430,jump,4,4
1455,kept,4,4
1473,king,4,4
1480,knew,4,4
1497,land,4,4
1521,lead,4,4
1592,loud,4,4
1616,main,4,4
1652,mask,4,4
1854,nose,4,4
2030,pick,4,4
2040,pink,4,4
2045,plan,4,4
2078,pool,4,4
2148,push,4,4
2250,rich,4,4
2293,safe,4,4
2347,seat,4,4
2399,shoe,4,4
2448,size,4,4
2499,sold,4,4
2799,tour,4,4
2872,U.K.,4,4
2874,U.S.,4,4
2911,used,4,4
2934,view,4,4
2978,weak,4,4
229,beach,4,5
345,bread,4,5
363,brown,4,5
459,chair,4,5
474,cheer,4,5
529,close,4,5
618,cover,4,5
702,diary,4,5
761,dress,4,5
785,dying,4,5
959,field,4,5
1165,guess,4,5
1167,guide,4,5
1297,hotel,4,5
1487,Korea,4,5
1514,laugh,4,5
1548,light,4,5
1867,nurse,4,5
1944,paint,4,5
1967,Paris,4,5
2023,photo,4,5
2163,radio,4,5
2256,right,4,5
2281,round,4,5
2297,salad,4,5
2397,shirt,4,5
2449,skate,4,5
2470,smile,4,5
2474,snack,4,5
2523,south,4,5
2549,spoke,4,5
2562,stage,4,5
2807,track,4,5
3014,whole,4,5
3047,women,4,5
33,advice,4,6
124,anyway,4,6
351,bridge,4,6
407,Canada,4,6
444,caught,4,6
481,cherry,4,6
602,corner,4,6
813,effort,4,6
866,eraser,4,6
873,Europe,4,6
975,finger,4,6
1028,forgot,4,6
1046,France,4,6
1217,Hawaii,4,6
1387,invite,4,6
1398,jacket,4,6
1536,lesson,4,6
1691,member,4,6
1965,pardon,4,6
2004,period,4,6
2068,police,4,6
2159,rabbit,4,6
2202,reduce,4,6
2288,Russia,4,6
2430,simple,4,6
2435,singer,4,6
2550,spoken,4,6
2555,spread,4,6
2670,Sydney,4,6
3077,writer,4,6
55,airport,4,7
87,America,4,7
120,anymore,4,7
455,century,4,7
469,charity,4,7
598,cooking,4,7
685,dentist,4,7
740,dolphin,4,7
946,feeling,4,7
1025,forever,4,7
1093,Germany,4,7
1342,improve,4,7
1723,mistake,4,7
1806,nervous,4,7
1983,patient,4,7
1997,percent,4,7
2049,plastic,4,7
2137,protect,4,7
2188,realize,4,7
2234,respect,4,7
2368,serious,4,7
2645,support,4,7
2747,thirsty,4,7
2832,trouble,4,7
2839,T-shirt,4,7
2943,visitor,4,7
2984,website,4,7
88,American,4,8
851,engineer,4,8
1345,increase,4,8
1785,national,4,8
2306,sandwich,4,8
2716,terrible,4,8
31,adventure,4,9
175,attention,4,9
430,carpenter,4,9
498,chocolate,4,9
505,Christmas,4,9
656,dangerous,4,9
845,encourage,4,9
1382,introduce,4,9
1467,kilometer,4,9
1814,New York ,4,9
795,earthquake,4,10
824,elementary,4,10
1424,journalist,4,10
1758,Mrs. (Mrs),4,10
2749,thirteenth,4,10
2901,university,4,10
592,convenience,4,11
823,electricity,4,11
1356,information,4,11
2898,United States,4,13
1109,global warming,4,14
3,a.m.,5,4
5,able,5,4
182,aunt,5,4
205,ball,5,4
304,boat,5,4
418,card,5,4
537,club,5,4
659,date,5,4
694,desk,5,4
728,dish,5,4
748,door,5,4
758,draw,5,4
836,else,5,4
979,fire,5,4
1065,full,5,4
1079,gave,5,4
1184,hair,5,4
1237,held,5,4
1465,kill,5,4
1495,lake,5,4
1529,left,5,4
1598,luck,5,4
1706,Mike,5,4
1709,milk,5,4
1740,moon,5,4
1937,p.m.,5,4
1978,past,5,4
2284,rule,5,4
2364,sent,5,4
2420,side,5,4
2424,sign,5,4
2477,snow,5,4
2582,step,5,4
2718,test,5,4
2805,town,5,4
2833,true,5,4
2955,wall,5,4
3029,wind,5,4
3052,wood,5,4
74,along,5,5
91,among,5,5
106,angry,5,5
131,apple,5,5
526,climb,5,5
528,clock,5,5
530,close,5,5
558,comic,5,5
652,dance,5,5
769,drink,5,5
790,earth,5,5
804,eaten,5,5
857,enter,5,5
965,fight,5,5
1061,fruit,5,5
1347,India,5,5
1485,known,5,5
1524,learn,5,5
1539,let's,5,5
1570,lives,5,5
1600,lucky,5,5
1638,March,5,5
1655,match,5,5
1664,maybe,5,5
1699,meter,5,5
1733,money,5,5
1752,mouth,5,5
1850,north,5,5
1913,order,5,5
1958,paper,5,5
1989,peace,5,5
2021,phone,5,5
2034,piece,5,5
2154,quiet,5,5
2170,raise,5,5
2185,ready,5,5
2244,reuse,5,5
2254,right,5,5
2255,right,5,5
2267,robot,5,5
2369,serve,5,5
2385,shall,5,5
2398,shock,5,5
2481,snowy,5,5
2594,stood,5,5
2614,study,5,5
2664,sweet,5,5
2679,taken,5,5
2804,tower,5,5
2866,twice,5,5
2884,uncle,5,5
2967,waste,5,5
3080,wrong,5,5
35,afraid,5,6
36,Africa,5,6
147,arrive,5,6
237,became,5,6
254,behind,5,6
333,bottle,5,6
343,Brazil,5,6
438,castle,5,6
465,change,5,6
543,coffee,5,6
614,course,5,6
616,cousin,5,6
673,decide,5,6
739,dollar,5,6
796,easily,5,6
820,either,5,6
850,energy,5,6
856,enough,5,6
896,excuse,5,6
1050,French,5,6
1075,garden,5,6
1200,happen,5,6
1226,health,5,6
1391,island,5,6
1437,junior,5,6
1693,memory,5,6
1772,myself,5,6
1881,office,5,6
1966,parent,5,6
1994,pencil,5,6
2118,pretty,5,6
2162,racket,5,6
2190,reason,5,6
2413,shrine,5,6
2689,taught,5,6
2734,theirs,5,6
2822,travel,5,6
3032,window,5,6
42,against,5,7
83,amazing,5,7
270,between,5,7
361,brought,5,7
422,careful,5,7
576,concert,5,7
636,culture,5,7
1022,foreign,5,7
1034,forward,5,7
1269,holiday,5,7
1302,however,5,7
1906,opinion,5,7
1925,outside,5,7
1998,perfect,5,7
2128,produce,5,7
2153,quickly,5,7
2379,several,5,7
2506,someone,5,7
2786,tonight,5,7
2894,uniform,5,7
2936,village,5,7
23,actually,5,8
370,building,5,8
660,daughter,5,8
1056,friendly,5,8
1224,headache,5,8
1682,medicine,5,8
1829,nineteen,5,8
1857,notebook,5,8
2402,shopping,5,8
3103,yourself,5,8
317,bookstore,5,9
515,classroom,5,9
681,delicious,5,9
900,expensive,5,9
1355,influence,5,9
1379,interview,5,9
1798,necessary,5,9
1820,newspaper,5,9
1936,P.E. (PE),5,9
2333,scientist,5,9
2443,situation,5,9
2923,vegetable,5,9
2948,volunteer,5,9
2801,tournament,5,10
2946,volleyball,5,10
563,communication,5,13
76,also,6,4
187,away,6,4
190,baby,6,4
191,back,6,4
223,bath,6,4
245,been,6,4
267,best,6,4
276,bike,6,4
280,bird,6,4
298,blue,6,4
315,book,6,4
326,born,6,4
331,both,6,4
379,busy,6,4
391,cake,6,4
395,call,6,4
400,came,6,4
420,care,6,4
510,city,6,4
546,cold,6,4
554,come,6,4
596,cook,6,4
599,cool,6,4
644,cute,6,4
667,dear,6,4
734,does,6,4
744,done,6,4
751,down,6,4
776,drum,6,4
786,each,6,4
